vx	vy	vz	score	numLines
-0.99398382	-0.10952524	-0.00061927	1675.16	184
-0.58885474	0.80822813	0.00417030	1129.17	173
-0.98010567	-0.19847638	-0.00000195	858.94	137

nLines	x1	y1	x2	y2	length
184
	335.01	354.45	340.06	356.09	5.31
	447.07	359.92	456.06	362.24	9.28
	613.89	373.14	620.99	374.40	7.21
	224.87	368.72	234.02	373.68	10.41
	472.11	370.38	487.88	374.43	16.28
	286.00	372.01	291.71	373.93	6.03
	265.91	377.79	270.59	380.03	5.19
	290.82	377.38	296.17	379.84	5.88
	400.06	378.14	411.05	381.93	11.63
	504.17	381.58	516.88	385.21	13.22
	179.36	382.77	185.68	386.45	7.31
	188.04	382.87	193.02	386.21	5.99
	600.05	385.95	629.11	392.77	29.85
	256.29	386.64	263.01	390.35	7.67
	166.34	390.53	173.03	394.89	7.98
	412.00	391.45	417.03	393.32	5.37
	475.01	395.02	482.01	397.03	7.28
	439.99	394.96	446.48	397.02	6.81
	274.61	406.22	279.94	408.69	5.87
	561.09	406.33	574.43	410.49	13.97
	223.27	406.72	228.02	409.13	5.33
137
	483.07	4.13	489.95	5.06	6.95
	610.11	14.28	617.03	15.97	7.11
	574.06	22.91	581.94	24.79	8.10
	259.78	21.52	266.02	22.46	6.31
	528.99	34.44	533.90	35.70	5.06
	308.02	34.58	327.98	37.88	20.23
	295.89	37.47	305.00	39.45	9.32
	483.02	38.75	488.94	40.15	6.08
	524.00	40.13	533.94	42.20	10.15
	314.01	41.66	319.20	42.78	5.31
	612.01	43.33	626.96	46.08	15.20
	414.23	45.37	423.92	47.66	9.95
	442.99	50.49	451.01	51.93	8.15
	591.97	54.23	581.96	52.03	10.25
	400.01	56.76	409.02	58.86	9.25
	176.09	61.37	185.99	63.75	10.19
	437.00	69.00	445.92	71.20	9.19
	615.19	62.38	620.16	63.47	5.09
	194.03	67.57	201.92	69.69	8.17
	414.90	69.25	424.00	71.00	9.27
	554.02	68.15	560.92	69.90	7.11
	310.92	84.07	324.97	86.61	14.28
	501.91	76.46	506.75	77.80	5.02
	418.92	81.39	432.00	83.90	13.32
	331.20	83.74	339.99	85.44	8.95
	571.02	86.21	579.01	88.36	8.28
	416.96	87.49	423.02	88.43	6.13
	329.08	88.40	335.00	89.39	6.01
	602.04	90.87	609.45	92.44	7.58
	617.88	91.09	626.04	92.17	8.23
	397.00	92.07	405.99	93.86	9.17
	576.93	100.21	595.63	102.93	18.90
	515.98	103.03	534.05	106.11	18.32
	538.95	103.44	548.08	105.90	9.45
	595.95	104.52	601.99	106.01	6.23
	528.11	111.25	538.00	113.00	10.05
	498.74	117.67	504.99	119.04	6.40
	558.95	138.67	620.00	149.64	62.03
	558.01	150.24	575.98	153.76	18.32
	588.01	165.94	593.79	167.28	5.94
	356.96	190.23	366.01	191.73	9.17
	244.00	202.00	259.98	204.13	16.12
	326.96	195.05	332.13	195.84	5.23
	246.08	196.93	251.92	198.38	6.01
	432.02	198.14	448.00	202.14	16.48
	309.08	203.29	348.01	212.62	40.03
	355.03	204.80	400.08	214.30	46.03
	229.03	205.97	263.06	213.82	34.92
	376.07	205.75	386.11	207.53	10.19
	360.97	208.17	375.88	211.44	15.26
	511.09	208.83	516.47	209.62	5.44
	507.93	213.20	516.00	214.97	8.26
	325.02	211.11	331.01	211.92	6.04
	615.00	211.98	620.96	213.38	6.13
	366.04	212.76	411.92	221.22	46.65
	230.19	213.53	275.06	221.81	45.62
	488.58	214.43	498.98	217.07	10.73
	601.88	216.21	609.07	217.16	7.26
	340.00	218.08	352.00	220.95	12.34
	499.88	218.82	513.97	221.19	14.29
	151.74	220.17	163.99	221.88	12.37
	489.94	221.49	499.12	223.31	9.36
	548.98	222.29	560.99	224.14	12.15
	209.95	225.25	264.89	240.19	56.93
	168.00	226.08	173.19	226.76	5.23
	439.32	225.93	452.09	229.43	13.24
	510.98	230.35	517.02	231.84	6.22
	226.04	233.80	267.65	243.24	42.67
